ID,Expiry,Election,Spot_0.9,Mean_0.9,Mean_0.2,Spot_0.1,Mean_0.1,Spot_0
416603,0,1,24,24.33823529,28.69230769,30,31.47887324,40
441748,0,0,0.5,13.22509804,20.68141593,30,27.25,8
420967,0,1,26.8,39.26326531,44.20625,48,33.5625,10
6231,0,0,1,10.22617329,8.62601626,8,8.098360656,6
416505,100,1,60,43.99010819,31.02797203,32.5,31.79577465,40
175739,0,0,0.1,0.428019324,1.007971014,1.3,0.939855072,2.8
25875,100,1,83,79.49934783,87,87,87,87
702724,100,0,51,25.90434783,10,10,10,10
74656,100,0,92,86.53464286,91.46774194,94,93.35483871,95
483463,0,1,37,48.7647343,36.65217391,36,38.31818182,38
663885,0,1,44.8,48.02804428,67.16666667,70,70,70
337686,0,1,2.5,41.95798817,67.01621622,69,61.43333333,64
756967,100,1,99.8,82.05,64.9,64.9,64.9,64.9
152678,0,1,42,41.17972973,48.26875,47.3,48.9875,48
471500,100,1,95,47.5914446,36.02531646,35,36.29113924,33
175738,0,0,0.1,2.061111111,3.871376812,5.1,2.773913043,1.8
412306,0,0,13.5,22.84444444,17.5,10,10,10
507642,0,0,0.7,4.468450704,8.924050633,10,9.315384615,0.1
586716,0,1,19,48.00545455,50.90833333,50.1,48.63333333,49
755801,0,0,13.5,52.21428571,34.33333333,25,48,48
317620,100,1,70,53.21401515,43.31896552,44,43.5862069,49
25883,0,1,10,12.87043478,20.94117647,20,22.58823529,32
607635,100,0,30.9,8.657831325,4.394444444,5.1,4.544444444,5
735291,0,0,2,12.25558511,22.69759036,20.1,34.41707317,40
749796,0,1,28.9,9.082285714,0.494871795,0.4,0.652631579,0.5
756739,100,1,5.5,32.192,50,50,50,50
438996,0,0,18.5,7.127360308,8.83826087,5,12.32280702,20
747924,0,0,1,5.488888889,18.26666667,5.4,35.5375,20
25979,0,1,43.2,54.66434783,62.70588235,63,62.41176471,62
416619,0,1,33,48.30198473,44.34482759,45,44.51388889,40
664226,0,1,63,86.41824818,90.1,90.1,90.1,90.1
753309,100,0,78,16.424,20.3,23.5,24.9,20
317776,100,1,80,66.56363636,53.89827586,50.1,53.90344828,70
607619,0,0,10.4,6.965168539,6.278947368,6.1,6.877777778,7.1
375149,0,1,17,52.84,69,70,70,70
420969,100,1,65,50.9707483,31.240625,29.1,18.0125,10
178521,0,0,0.1,2.943729642,6.007326007,4.3,6.174264706,4
639646,100,0,73,34.42507788,20.82746479,15,20.23943662,25
74659,0,0,15,23.38428571,37.90322581,41,38.48387097,28
750757,0,1,19,2.993006993,0.774193548,1,0.906666667,0.5
25901,100,1,63,73.6340564,84.91176471,84,85.82352941,87
753838,0,0,80,27.72166667,20.21538462,20,19.83333333,20
450983,0,0,2.6,4.411290323,5.057272727,7.5,4.127272727,3
176554,0,0,0.1,1.030645161,2.977818182,2.3,3.402189781,2.5
